id,name,category,stock_quantity,purchase_price,selling_price,min_stock
990,RAY BAN,,102,0.0,0.0,0
1122,REAL (4),,502,0.0,0.0,0
680,REAL MADRID 2,,202,195.0,195.0,0
1323,REBON TERMIQUE,,72,0.0,0.0,0
751,REBOOK 4 DINOTEX,,126,0.0,0.0,0
779,REBOOK 6 DINOTEX,,1,0.0,0.0,0
853,RECORDMAN,,969,0.0,0.0,0
1384,RECORDMAN 140,,102,0.0,0.0,0
859,RECORDMAN 3.5,,20029,0.0,0.0,0
1071,RECORDMAN TAILLE,,100,0.0,0.0,0
1083,REEBOOK 6,,101,0.0,0.0,0
1321,RELOU CARBON,,40,0.0,0.0,0
1261,RENAULT,,250,0.0,0.0,0
1330,RIBON,,50,0.0,0.0,0
1196,ROI CLASSIC,,220156,0.85,0.85,0
1101,ROUGE LOG,,10,1500.0,1500.0,0
597,RS 55,,500,190.0,190.0,0
984,RUIPAI OUTDOOR 12,,203,0.0,0.0,0
869,S 2.5,,138,350.0,350.0,0
643,S NOIR,,121,500.0,500.0,0
675,SAMBA,,1157,200.0,200.0,0
1154,SATIN 3.5,,2,0.0,0.0,0
1142,SCHOOL BOYS,,102,250.0,250.0,0
1165,SCOTSH,,10,0.0,0.0,0
1271,SEAT 12,,22087,240.0,240.0,0
889,SERGIO TACCHINI,,30,0.0,0.0,0
955,SIGNATEUR,,256,0.0,0.0,0
1362,SOFIA KIDS,,20,0.85,0.85,0
1173,SONATRAC,,6002,0.0,0.0,0
1202,SONATRACH 3G/3P,,705,0.0,0.0,0
1230,SOUIS VUITTON 44,,354,0.0,0.0,0
1320,SOUKOY 9,,100,170.0,170.0,0
917,SPIDER MAN,,613,220.0,220.0,0
1076,SPIDERMAN,,100,190.0,190.0,0
627,SPORTS 294,,858,250.0,250.0,0
1285,SPOTIFIX,,100,240.0,240.0,0
1298,SPOTIFY,,200,0.0,0.0,0
1366,STYLE #,,700,350.0,350.0,0
1193,SWING MACHINE,,13,0.0,0.0,0
531,T 10,,64697,250.0,250.0,0
517,T 12,,10748,250.0,250.0,0
518,T 14,,32320,250.0,250.0,0
519,T 16,,32233,250.0,250.0,0
525,T 2,,42841,250.0,250.0,0
526,T 3,,30953,250.0,250.0,0
825,T 38,,229,0.0,0.0,0
527,T 4,,11230,250.0,250.0,0
739,T 40,,253,0.0,0.0,0
740,T 42,,307,0.0,0.0,0
741,T 44,,250,0.0,0.0,0
742,T 46,,222,0.0,0.0,0
743,T 48,,166,0.0,0.0,0
528,T 5,,213,250.0,250.0,0
693,T 50,,78,250.0,250.0,0
826,T 52,,70,0.0,0.0,0
824,T 54,,70,0.0,0.0,0
529,T 6,,1051,250.0,250.0,0
530,T 8,,22551,250.0,250.0,0
631,T 8 BLANC,,800,850.0,850.0,0
1208,T 8 BLEU CIEL,,40,1450.0,1450.0,0
1207,T 8 ROSE,,80,1450.0,1450.0,0
791,T 8#,,50,800.0,800.0,0
533,T L,,1191,250.0,250.0,0
532,T M,,568,250.0,250.0,0
744,T S,,235,0.0,0.0,0
534,T XL,,1109,250.0,250.0,0
535,T XXL,,978,250.0,250.0,0
536,T XXXL,,102,250.0,250.0,0
1327,TABLE,,3,0.0,0.0,0
1309,TACHA 7 /TRI,,125,125.0,125.0,0
879,TAILLE CHIFFRE,,113,220.0,220.0,0
1005,TAILLE COLLECTION,,300,0.0,0.0,0
880,TAILLE LATTRE,,31,220.0,220.0,0
1061,TAILLE POLYAMIDE 80M,,30231,300.0,300.0,0
1008,TAILLE SIDALI,,400,0.0,0.0,0
555,TAPIS,,806,230.0,230.0,0
1360,TAPIS 38 38,,10,0.0,0.0,0
